,Rue,Adresse,Nombre,Lat,Long,Bureau,Voix LFI du bureau,Nombre d'électeurs du bureau,Voix estimées
50,RUE SERGE RAVANEL,  16 RUE SERGE RAVANEL ,10,45.7532989,4.9183813,76,176,1037,2.862715221974018
51,RUE SERGE RAVANEL,  12 RUE SERGE RAVANEL ,10,45.753299,4.9176877,76,176,1037,2.862715221974018
52,RUE SERGE RAVANEL,  14 RUE SERGE RAVANEL ,10,45.7533213,4.9179111,76,176,1037,2.862715221974018
53,RUE SERGE RAVANEL,  8 RUE SERGE RAVANEL ,16,45.7535323,4.9178425,76,176,1037,4.580344355158428
54,RUE SERGE RAVANEL,  4 RUE SERGE RAVANEL ,9,45.7536853,4.9175326,76,176,1037,2.576443699776616
55,RUE SERGE RAVANEL,  6 RUE SERGE RAVANEL ,17,45.7536862,4.9178517,76,176,1037,4.86661587735583
56,RUE DU CAPORAL MORANGE,  17A RUE DU CAPORAL MORANGE ,10,45.7525848,4.9181813,76,176,1037,2.862715221974018
57,RUE DU CAPORAL MORANGE,  17B RUE DU CAPORAL MORANGE ,10,45.7525848,4.9181813,76,176,1037,2.862715221974018
58,RUE DU CAPORAL MORANGE,  15A RUE DU CAPORAL MORANGE ,10,45.7528346,4.9176528,76,176,1037,2.862715221974018
59,RUE DU CAPORAL MORANGE,  15B RUE DU CAPORAL MORANGE ,10,45.7528346,4.9176528,76,176,1037,2.862715221974018
60,RUE DU CAPORAL MORANGE,  15C RUE DU CAPORAL MORANGE ,10,45.7528346,4.9176528,76,176,1037,2.862715221974018
61,DE LA POUDRETTE, RUE DE LA POUDRETTE ,3,45.7529404,4.9187535,76,176,1037,0.8588145665922053
62,DE LA POUDRETTE, RUE DE LA POUDRETTE ,12,45.7538187,4.9200708,76,176,1037,3.4352582663688214
63,DE LA POUDRETTE, RUE DE LA POUDRETTE ,8,45.7538406,4.9187848,76,176,1037,2.290172177579214
64,RUE NICOLAS GARNIER,1 RUE NICOLAS GARNIER ,35,45.7536386,4.9106804,74,238,1237,11.663728737919353
65,RUE NICOLAS GARNIER,  62 RUE NICOLAS GARNIER ,10,45.7544623,4.916709,76,176,1037,2.862715221974018
66,RUE NICOLAS GARNIER,  69 RUE NICOLAS GARNIER ,10,45.7545742,4.9158456,76,176,1037,2.862715221974018
67,RUE NICOLAS GARNIER,  71 RUE NICOLAS GARNIER ,10,45.7545989,4.9161424,76,176,1037,2.862715221974018
68,RUE ALFRED DE MUSSET,  2 RUE ALFRED DE MUSSET ,35,45.7558753,4.9133802,74,238,1237,11.663728737919353
69,RUE ALFRED DE MUSSET,  4 RUE ALFRED DE MUSSET ,35,45.7560019,4.9136728,74,238,1237,11.663728737919353
70,RUE ALFRED DE MUSSET,  6 RUE ALFRED DE MUSSET ,35,45.7561317,4.9139849,74,238,1237,11.663728737919353
71,RUE ALFRED DE MUSSET,  8 RUE ALFRED DE MUSSET ,30,45.7563189,4.9145768,76,176,1037,8.588145665922053
